Evaluation	Subtest	question_category	Question_Number	Question_Text
DAYC-2	Adaptive Behavior	feeding	60	makes simple breakfast and lunch
DAYC-2	Adaptive Behavior	bath	61	washes own hair
DAYC-2	Adaptive Behavior	care	62	takes care of minor cuts (cleans and applies bandage)
DAYC-2	Adaptive Behavior	safety	63	rides a bicycle safely without training wheels
DAYC-2	Adaptive Behavior	feeding	64	cuts food( (including meat) into bite-sized pieces
BAYLEY	Cognitive Scale	calms	1	calms when picked up
BAYLEY	Cognitive Scale	awareness	2	responds to surroundings series; inspects
BAYLEY	Cognitive Scale	object	3	regards object for 3 seconds
BAYLEY	Cognitive Scale	sound	4	habituates to rattle
BAYLEY	Cognitive Scale	object	5	discriminates between objects
BAYLEY	Cognitive Scale	awareness	6	recognizes  caregiver
BAYLEY	Cognitive Scale	awareness	7	becomes excited in anticipation
BAYLEY	Cognitive Scale	object	8	regards object for 5 seconds
BAYLEY	Cognitive Scale	awareness	9	reacts to disappearance of face
BAYLEY	Cognitive Scale	awareness	10	shifts attention
BAYLEY	Cognitive Scale	picture	11	shows visual preference
BAYLEY	Cognitive Scale	object	12	habituates to object
BAYLEY	Cognitive Scale	object	13	prefers novel object
BAYLEY	Cognitive Scale	picture	14	habituates to picture (balloons)
BAYLEY	Cognitive Scale	picture	15	prefers novel picture (ball)
BAYLEY	Cognitive Scale	object	16	explores object
BAYLEY	Cognitive Scale	mouth	17	carries object to mouth
BAYLEY	Cognitive Scale	hand	18	inspects own hand
BAYLEY	Cognitive Scale	mirror	19	Mirror image series: Approaches
BAYLEY	Cognitive Scale	awareness	20	Responds to surroundings series: Awareness of Novelty
BAYLEY	Cognitive Scale	reach	21	persistent reach
BAYLEY	Cognitive Scale	mirror	22	mirror image series: Responds Positively
BAYLEY	Cognitive Scale	string	23	plays with string
BAYLEY	Cognitive Scale	bangs	24	bangs in play
BAYLEY	Cognitive Scale	hidden	25	searches for fallen object
BAYLEY	Cognitive Scale	bell	26	Bell series: Manipulates
BAYLEY	Cognitive Scale	block	27	Picks up block series: Reaches for the second block
BAYLEY	Cognitive Scale	cloth	28	pulls cloth to obtain object
BAYLEY	Cognitive Scale	string	29	pulls string adaptively
BAYLEY	Cognitive Scale	block	30	retains both blocks
BAYLEY	Cognitive Scale	bell	31	Bell series: Rings purposely
BAYLEY	Cognitive Scale	book	32	looks at pictures
BAYLEY	Cognitive Scale	block	33	Picks up blocks series: Retains 2 of 3 blocks
BAYLEY	Cognitive Scale	hidden	34	searches for missing objects 
BAYLEY	Cognitive Scale	block	35	takes blocks out of cup
BAYLEY	Cognitive Scale	block	36	Block series: 1 block
BAYLEY	Cognitive Scale	block	37	Picks up block series: 3 blocks
BAYLEY	Cognitive Scale	pegs	38	explores holes in pegboard
BAYLEY	Cognitive Scale	car	39	pushes car
BAYLEY	Cognitive Scale	hidden	40	finds hidden object
BAYLEY	Cognitive Scale	ring	41	suspends ring
BAYLEY	Cognitive Scale	bottle	42	removes pellet 
BAYLEY	Cognitive Scale	box	43	clear box: front
BAYLEY	Cognitive Scale	squeezes	44	squeezes object
BAYLEY	Cognitive Scale	hidden	45	finds hidden object (reversed) 
BAYLEY	Cognitive Scale	bottle	46	removes lid from bottle
BAYLEY	Cognitive Scale	pegs	47	Pegboard series: 2 holes
BAYLEY	Cognitive Scale	play	48	Relational play series: self
BAYLEY	Cognitive Scale	puzzle	49	Pink board series: 1 piece
BAYLEY	Cognitive Scale	hidden	50	finds hidden object (visible displacement)
BAYLEY	Cognitive Scale	puzzle	51	Blue board series: 1 piece
BAYLEY	Cognitive Scale	box	52	clear box: sides
BAYLEY	Cognitive Scale	play	53	Relational play series: Others
BAYLEY	Cognitive Scale	block	54	Block series: 9 blocks
BAYLEY	Cognitive Scale	pegs	55	Pegboard series: 6 pegs
BAYLEY	Cognitive Scale	puzzle	56	Pink board series: Completes
BAYLEY	Cognitive Scale	directions	57	uses pencil to obtain object
BAYLEY	Cognitive Scale	puzzle	58	Blue board series: 4 pieces
BAYLEY	Cognitive Scale	book	59	attends to story
BAYLEY	Cognitive Scale	puzzle	60	rotated pink board
BAYLEY	Cognitive Scale	puzzle	61	object assembly (ball)
BAYLEY	Cognitive Scale	pegs	62	Completes pegboard: 25 seconds
BAYLEY	Cognitive Scale	puzzle	63	object assembly (ice cream cone)
BAYLEY	Cognitive Scale	visual	64	matches pictures 
BAYLEY	Cognitive Scale	play	65	representational play
BAYLEY	Cognitive Scale	puzzle	66	Blue board series: Completes (75 seconds)
BAYLEY	Cognitive Scale	directions	67	imitates a two-step action
BAYLEY	Cognitive Scale	color	68	matches 3 colors
BAYLEY	Cognitive Scale	play	69	imaginary play 
BAYLEY	Cognitive Scale	number	70	understands concept of one
BAYLEY	Cognitive Scale	play	71	multischeme combination play
BAYLEY	Cognitive Scale	color	72	concept grouping: color
BAYLEY	Cognitive Scale	sizes	73	concept grouping: size
BAYLEY	Cognitive Scale	weight	74	compare masses
BAYLEY	Cognitive Scale	sizes	75	matches size
BAYLEY	Cognitive Scale	visual	76	discriminates pictures
BAYLEY	Cognitive Scale	pattern	77	simple pattern 
BAYLEY	Cognitive Scale	color	78	sorts pegs by color
BAYLEY	Cognitive Scale	numbers	79	counts (one-to-one correspondence)
BAYLEY	Cognitive Scale	sizes	80	discriminates sizes 
BAYLEY	Cognitive Scale	visual	81	identifies 3 incomplete pictures 
BAYLEY	Cognitive Scale	puzzle	82	object assembly (dog)
BAYLEY	Cognitive Scale	pattern	83	discriminates patterns
BAYLEY	Cognitive Scale	memory	84	spatial memory
BAYLEY	Cognitive Scale	number	85	counts (cardinality)
BAYLEY	Cognitive Scale	number	86	number constancy
BAYLEY	Cognitive Scale	laces	87	laces card
BAYLEY	Cognitive Scale	objects	88	classifies objects
BAYLEY	Cognitive Scale	concept	89	understands concept of more
BAYLEY	Cognitive Scale	number	90	repeats number sequences
BAYLEY	Cognitive Scale	pattern	91	completes pattern
BAYLEY	Language scale - Receptive Comm Subtest	visual	1	regards person momentarily
BAYLEY	Language scale - Receptive Comm Subtest	sounds	2	tolerates attention
BAYLEY	Language scale - Receptive Comm Subtest	sounds	3	calms when spoken to 
BAYLEY	Language scale - Receptive Comm Subtest	sounds	4	reacts to sounds in the environment
BAYLEY	Language scale - Receptive Comm Subtest	sounds	5	responds to a person's voice
BAYLEY	Language scale - Receptive Comm Subtest	sounds	6	searches with head turn
BAYLEY	Language scale - Receptive Comm Subtest	sounds	7	discriminates sounds
BAYLEY	Language scale - Receptive Comm Subtest	play	8	sustained play with objects
BAYLEY	Language scale - Receptive Comm Subtest	sounds	9	responds to name
BAYLEY	Language scale - Receptive Comm Subtest	no	10	interrupts activity
BAYLEY	Language scale - Receptive Comm Subtest	words	11	recognizes 2 familiar words
BAYLEY	Language scale - Receptive Comm Subtest	no	12	responds to no-no
BAYLEY	Language scale - Receptive Comm Subtest	play	13	attends to other's play routine
BAYLEY	Language scale - Receptive Comm Subtest	directions	14	responds to request for social routines
BAYLEY	Language scale - Receptive Comm Subtest	objects	15	Identifies object series: 1 correct
BAYLEY	Language scale - Receptive Comm Subtest	objects	16	identifies object in the environment
BAYLEY	Language scale - Receptive Comm Subtest	picture	17	Identifies picture series: 1 correct
BAYLEY	Language scale - Receptive Comm Subtest	no	18	understands inhibitory words
BAYLEY	Language scale - Receptive Comm Subtest	objects	19	Identifies object series: 3 correct
BAYLEY	Language scale - Receptive Comm Subtest	directions	20	follows one-part directions
BAYLEY	Language scale - Receptive Comm Subtest	picture	21	identifies picture series: 3 correct
BAYLEY	Language scale - Receptive Comm Subtest	clothing	22	identifies 3 clothing items 
BAYLEY	Language scale - Receptive Comm Subtest	action pix	23	Identifies action picture series: 1 correct
BAYLEY	Language scale - Receptive Comm Subtest	body parts	24	identifies 5 parts of the body
BAYLEY	Language scale - Receptive Comm Subtest	directions	25	follows two-part directions
BAYLEY	Language scale - Receptive Comm Subtest	action pix	26	Identifies action picture series: 3 correct
BAYLEY	Language scale - Receptive Comm Subtest	use	27	understands use of objects 
BAYLEY	Language scale - Receptive Comm Subtest	part/whole	28	understands part/whole relationships
BAYLEY	Language scale - Receptive Comm Subtest	action pix	29	Identifies action picture series: 5 correct
BAYLEY	Language scale - Receptive Comm Subtest	pronouns	30	understands pronouns (him, me, my, you, your)
BAYLEY	Language scale - Receptive Comm Subtest	sizes	31	understands labels for sizes
BAYLEY	Language scale - Receptive Comm Subtest	prepositions	32	Understands prepositions series: 2 correct
BAYLEY	Language scale - Receptive Comm Subtest	possessives	33	understands possessives 
BAYLEY	Language scale - Receptive Comm Subtest	verbs	34	understands verb + ing
BAYLEY	Language scale - Receptive Comm Subtest	color	35	identifies colors 
BAYLEY	Language scale - Receptive Comm Subtest	number	36	understands label of one 
BAYLEY	Language scale - Receptive Comm Subtest	pronouns	37	understands pronouns (they, she, he) 
BAYLEY	Language scale - Receptive Comm Subtest	pronouns	38	understands pronouns (his, her)
BAYLEY	Language scale - Receptive Comm Subtest	plurals	39	understands plurals
BAYLEY	Language scale - Receptive Comm Subtest	plurals	40	understands more
BAYLEY	Language scale - Receptive Comm Subtest	plurals	41	understands most
BAYLEY	Language scale - Receptive Comm Subtest	prepositions	42	Understands prepositions series: 4 correct
BAYLEY	Language scale - Receptive Comm Subtest	negatives	43	understands negatives in sentences
BAYLEY	Language scale - Receptive Comm Subtest	past	44	understands past tense
BAYLEY	Language scale - Receptive Comm Subtest	weight	45	understands labels for mass
BAYLEY	Language scale - Receptive Comm Subtest	less	46	understands least
BAYLEY	Language scale - Receptive Comm Subtest	less	47	understands less
BAYLEY	Language scale - Receptive Comm Subtest	descritions	48	understands descriptive labels 
BAYLEY	Language scale - Receptive Comm Subtest	categories	49	identifies categories of objects
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	1	Undifferentiated throaty sounds 
BAYLEY	Language Scale - Expressive Comm Subtest	smile	2	social smile
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	3	vocalizes mood
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	4	undifferentiated nasal sounds
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	5	social vocalizing or laughing
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	6	2 vowel sounds
BAYLEY	Language Scale - Expressive Comm Subtest	point	7	gets attention
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	8	2 consonant sounds 
BAYLEY	Language Scale - Expressive Comm Subtest	point	9	uses gestures
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	10	Consonant-Vowel combination series: 1 combination
BAYLEY	Language Scale - Expressive Comm Subtest	play	11	participates in play routine
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	12	jabbers expressively 
BAYLEY	Language Scale - Expressive Comm Subtest	sounds	13	Consonant-Vowel combination series: 4 combinations
BAYLEY	Language Scale - Expressive Comm Subtest	words	14	uses one-word approximations
BAYLEY	Language Scale - Expressive Comm Subtest	point	15	directs attention of other
BAYLEY	Language Scale - Expressive Comm Subtest	words	16	imitates word
BAYLEY	Language Scale - Expressive Comm Subtest	play	17	initiates play interaction
BAYLEY	Language Scale - Expressive Comm Subtest	words	18	Uses words appropriately series: 2 words
BAYLEY	Language Scale - Expressive Comm Subtest	words	19	uses word to make wants known
BAYLEY	Language Scale - Expressive Comm Subtest	object	20	Names object series: 1 object
BAYLEY	Language Scale - Expressive Comm Subtest	words	21	combines word and gesture
BAYLEY	Language Scale - Expressive Comm Subtest	picture	22	Names picture series: 1 picture
BAYLEY	Language Scale - Expressive Comm Subtest	words	23	Uses words appropriately series: 8 words 
BAYLEY	Language Scale - Expressive Comm Subtest	questions	24	answers yes or no verbally in response to questions
BAYLEY	Language Scale - Expressive Comm Subtest	words	25	imitates a two-word utterance
BAYLEY	Language Scale - Expressive Comm Subtest	words	26	uses a two-word utterance
BAYLEY	Language Scale - Expressive Comm Subtest	object	27	Names object series: 3 objects
BAYLEY	Language Scale - Expressive Comm Subtest	picture	28	Names picture series: 5 pictures
BAYLEY	Language Scale - Expressive Comm Subtest	words	29	uses multiple-word utterances
BAYLEY	Language Scale - Expressive Comm Subtest	pronouns	30	uses pronouns
BAYLEY	Language Scale - Expressive Comm Subtest	action pix	31	Names action picture series: 1 picture
BAYLEY	Language Scale - Expressive Comm Subtest	words	32	poses multiple-word questions
BAYLEY	Language Scale - Expressive Comm Subtest	words	33	makes a contingent utterance
BAYLEY	Language Scale - Expressive Comm Subtest	verb	34	uses verb + ing
BAYLEY	Language Scale - Expressive Comm Subtest	action pix	35	Names action picture series: 3 pictures
BAYLEY	Language Scale - Expressive Comm Subtest	words	36	uses different word combinations
BAYLEY	Language Scale - Expressive Comm Subtest	action pix	37	Names action picture series: 5 pictures
BAYLEY	Language Scale - Expressive Comm Subtest	plurals	38	uses plurals 
BAYLEY	Language Scale - Expressive Comm Subtest	questions	39	answers what and where questions
BAYLEY	Language Scale - Expressive Comm Subtest	possessives	40	uses possessives 
BAYLEY	Language Scale - Expressive Comm Subtest	colors	41	names 4 colors
BAYLEY	Language Scale - Expressive Comm Subtest	questions	42	answers questions logically (related to functions)
BAYLEY	Language Scale - Expressive Comm Subtest	object	43	tells how an object is used 
BAYLEY	Language Scale - Expressive Comm Subtest	prepositions	44	uses prepositions
BAYLEY	Language Scale - Expressive Comm Subtest	verb	45	uses present progressive form
BAYLEY	Language Scale - Expressive Comm Subtest	picture	46	Describes pictures series: Uses 4-5 word sentences
BAYLEY	Language Scale - Expressive Comm Subtest	picture	47	Describes pictures series: Uses past tense
BAYLEY	Language Scale - Expressive Comm Subtest	picture	48	Describes pictures series: Uses future tense
BAYLEY	Motor Scale - Fine Motor Subtest	hand	1	hands are fisted
BAYLEY	Motor Scale - Fine Motor Subtest	eyes	2	eyes follow moving person
BAYLEY	Motor Scale - Fine Motor Subtest	eyes	3	eyes follow ring (horizontal)
BAYLEY	Motor Scale - Fine Motor Subtest	eyes	4	eyes follow ring (vertical) 
BAYLEY	Motor Scale - Fine Motor Subtest	hand	5	attempts to bring hand to mouth
BAYLEY	Motor Scale - Fine Motor Subtest	ring	6	retains ring
BAYLEY	Motor Scale - Fine Motor Subtest	eyes	7	eyes follow ring (circular) 
BAYLEY	Motor Scale - Fine Motor Subtest	eyes	8	head follows ring
BAYLEY	Motor Scale - Fine Motor Subtest	eyes	9	eyes follow rolling ball
BAYLEY	Motor Scale - Fine Motor Subtest	hand	10	keeps hands open
BAYLEY	Motor Scale - Fine Motor Subtest	wrist	11	rotates wrist
BAYLEY	Motor Scale - Fine Motor Subtest	ring	12	grasps suspended rings
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	13	Block series: Reaches for block
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	14	Block series: Touches block
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	15	Block series: Whole hand grasp
BAYLEY	Motor Scale - Fine Motor Subtest	reach	16	reaches unilaterally
BAYLEY	Motor Scale - Fine Motor Subtest	finger	17	Food pellet series: Raking grasp
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	18	Block series: Partial thumb opposition
BAYLEY	Motor Scale - Fine Motor Subtest	ring	19	transfers ring
BAYLEY	Motor Scale - Fine Motor Subtest	finger	20	Food pellet series: Whole hand grasp
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	21	transfers block
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	22	Block series: Thumb-fingertip grasp
BAYLEY	Motor Scale - Fine Motor Subtest	midline	23	brings spoons or blocks to midline 
BAYLEY	Motor Scale - Fine Motor Subtest	finger	24	Food pellet series: Partial thumb opposition
BAYLEY	Motor Scale - Fine Motor Subtest	finger	25	lifts cup by handle 
BAYLEY	Motor Scale - Fine Motor Subtest	finger	26	Food pellet series: Thumb-fingertip grasp
BAYLEY	Motor Scale - Fine Motor Subtest	finger	27	turns pages of book
BAYLEY	Motor Scale - Fine Motor Subtest	grasp	28	Grasp series: Palmar grasp
BAYLEY	Motor Scale - Fine Motor Subtest	finger	29	isolates extended index finger
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	30	scribbles spontaneously
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	31	Block stacking series: 2 blocks
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	32	Imitates stroke series: Random
BAYLEY	Motor Scale - Fine Motor Subtest	finger	33	places 10 pellets in bottle (60 seconds)
BAYLEY	Motor Scale - Fine Motor Subtest	grasp	34	Grasp series: Transitional grasp 
BAYLEY	Motor Scale - Fine Motor Subtest	coins	35	coins in slot
BAYLEY	Motor Scale - Fine Motor Subtest	lego	36	connecting blocks: apart
BAYLEY	Motor Scale - Fine Motor Subtest	grasp	37	Grasp series: Intermediate (tripod) grasp
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	38	Block stacking series: 6 blocks
BAYLEY	Motor Scale - Fine Motor Subtest	stabilize	39	uses hand to hold paper in place
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	40	Imitates stroke series: Horizontal
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	41	Imitates stroke series: Vertical
BAYLEY	Motor Scale - Fine Motor Subtest	lego	42	connecting blocks: together
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	43	Imitates stroke series: Circular
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	44	builds train of blocks
BAYLEY	Motor Scale - Fine Motor Subtest	string	45	strings 3 blocks
BAYLEY	Motor Scale - Fine Motor Subtest	finger	46	imitates hand movements 
BAYLEY	Motor Scale - Fine Motor Subtest	cut	47	snips paper
BAYLEY	Motor Scale - Fine Motor Subtest	grasp	48	Grasp series: Dynamic grasp
BAYLEY	Motor Scale - Fine Motor Subtest	finger	49	tactilely discriminates shapes 
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	50	builds wall
BAYLEY	Motor Scale - Fine Motor Subtest	cut	51	cuts paper
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	52	builds bridge
BAYLEY	Motor Scale - Fine Motor Subtest	imitate	53	imitates plus sign
BAYLEY	Motor Scale - Fine Motor Subtest	blocks	54	Block stacking series: 8 blocks
